index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor
1,2009,Estudio de sobretensiones por maniobra debido a energización de bancos de condensadores y transformadores en líneas de transmisión de 115kV,"De Gregorio S., Luis T.",6.77 MB,http://saber.ucv.ve/handle/10872/17712,http://saber.ucv.ve/bitstream/10872/17712/1/TESIS%20DE%20GRADO%20LUIS%20DE%20GREGORIO.pdf,,thesis_pdf_all/1.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Julio Molina
249,13-Oct-2011,"Análisis y evaluación de la aplicación de tecnología a los fluidos de perforación para el campo gasífero Yucal-Placer, con la finalidad de optimizar el fluido utilizado","González P., Héctor V.",2.61 MB,http://saber.ucv.ve/handle/10872/426,http://saber.ucv.ve/bitstream/10872/426/1/TRABAJO%20ESPECIAL%20DE%20GRADO%20FINAL.pdf,,thesis_pdf_all/249.pdf,True,True,False,escuela de ingenieria de petroleo,Escuela de Ingeniería de Petroleo,Luis Norberto Bueno Gomez
197,30-Sep-2011,"Modelo de participación comunitaria del comité de salud en el consultorio popular de la Misión Barrio Adentro I, N° 7 'Ingrid Pérez', Bloque 50-51, El Mirador, Parroquia 23 de Enero. Caracas, 2005","Carrillo C., Nancy; Márquez S., Migdalia",280.68 kB,http://saber.ucv.ve/handle/10872/325,http://saber.ucv.ve/bitstream/10872/325/1/MODELO%20DE%20PARTICIPACION%20COMUNITARIA%20DEL%20COMITE%20DE%20SALUD%20EN%20EL%20CONSULTORIO%20POPULAR%20DE%20LA%20MISION%20B2.pdf,,thesis_pdf_all/197.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Aura
198,30-Sep-2011,Calidad del cuidado brindado por el profesional de enfermería a pacientes con infarto de miocardio que ingresan a la unidad de emergencia del Hospital Militar “Cnel Elbano Paredes Vivas” de Maracay Estado Aragua,"Casaña, Yurima; Florido, Lisbeth; Nieves, Rosa",481.18 kB,http://saber.ucv.ve/handle/10872/326,http://saber.ucv.ve/bitstream/10872/326/1/tesis%20de%20maracay.pdf,,thesis_pdf_all/198.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Carmen Amalia Vallenilla
199,30-Sep-2011,Programa de educación para la prevención del virus del papiloma humano (vph) dirigido a las usuarias que asisten a la consulta de ginecología del Hospital General del Oeste “Dr. José Gregorio Hernández” de los Magallanes de Catia en el tercer trimestre del año 2005.,"Colmenares, Suleimy; Contreras, Rosa Y.; Valera, Carmen E.",483.44 kB,http://saber.ucv.ve/handle/10872/327,http://saber.ucv.ve/bitstream/10872/327/1/TESIS%20COMPLETA.pdf,,thesis_pdf_all/199.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Samuel
200,30-Sep-2011,Cambios clínicos de los pacientes que reciben tratamiento con esteroides inhalados. Emergencia del hospital pediátrico Dr. Elías Toro. 1er trimestre 2005,"Contreras, Rudhit; Valecillo, Nelba",201.65 kB,http://saber.ucv.ve/handle/10872/328,http://saber.ucv.ve/bitstream/10872/328/1/CAMBIOS%2520CLINICOS%2520DE%2520LOS%2520PACIENTES%2520QUE%2520RECIBEN%2520TRATAMIENTO%2520CON%2520ESTEROIDES%2520INHA.pdf,,thesis_pdf_all/200.pdf,True,True,False,escuela de enfermeria,Escuela de Enfermería,Matilde Ortega
242,10-Oct-2011,Evaluación del comportamiento a la fatiga y fatiga corrosión de una aleación comercial de aluminio recubierta por termorociado vía HVOF,"Gedler C., Gabriel E.; Paredes V., Luis E.",4.61 MB,http://saber.ucv.ve/handle/10872/421,http://saber.ucv.ve/bitstream/10872/421/1/Trabajo%20especial%20de%20grado.pdf,,thesis_pdf_all/242.pdf,True,True,False,escuela de ingenieria mecanica,Escuela de Ingeniería Mecanica,Crisanto J Villalobos G
243,13-Oct-2011,Desarrollo de un algoritmo numérico para el diseño y simulación del proceso de producción de hidrocarburos mediante sistemas de bombeo mecánico,"Gil L., María V.; Morillo L., José R.",5.75 MB,http://saber.ucv.ve/handle/10872/423,http://saber.ucv.ve/bitstream/10872/423/1/TOMO.pdf,,thesis_pdf_all/243.pdf,True,True,False,escuela de ingenieria mecanica,Escuela de Ingeniería Mecanica,Julio Gonzalez
244,13-Oct-2011,Ampliación de la red de distribución de gas metano de la ciudad de Barquisimeto de función de la demanda actual y futura,"Gollo L., Ricardo J.; Sánchez P., Orlando N.",11.1 MB,http://saber.ucv.ve/handle/10872/424,http://saber.ucv.ve/bitstream/10872/424/1/Tesis%20de%20Grado.pdf,,thesis_pdf_all/244.pdf,True,True,False,escuela de ingenieria mecanica,Escuela de Ingeniería Mecanica,Rodolfo A Grullon S
245,13-Oct-2011,Evaluación técnico-económica de la planta de tratamiento de aguas residuales industriales en la empresa Owens-Illinois de Venezuela C.A.,"Gómez G., Luisa F.",695.58 kB,http://saber.ucv.ve/handle/10872/425,http://saber.ucv.ve/bitstream/10872/425/1/Tesis%201.pdf,,thesis_pdf_all/245.pdf,True,True,False,escuela de ingenieria quimica,Escuela de Ingeniería Química,Eudoro Lopez
